load_id,pickup,delivery,distance,equipment,weight,date,market_index,quote_signal,posted_rate,rate_per_mile,posted_rate_iqr_flag,rpm_iqr_flag,negative_weight_flag,missing_weight_flag,missing_market_index_flag,anomaly_flag_count
TR-000470,Phoenix,Jacksonville,2154.3,Dry Van,22509.0,2025-01-04,0.84517,1.76215,10854.69,5.038615791672469,True,True,False,False,False,2
TR-000906,Fort Wayne,Toledo,80.0,Reefer,25930.0,2025-01-06,,2.92545,231.54,2.89425,False,True,False,False,True,2
TR-001330,Harrisburg,Tulsa,1190.5,Dry Van,28538.0,2025-01-09,0.9801,1.87616,7100.73,5.9644939101217975,True,True,False,False,False,2
TR-001467,Los Angeles,Syracuse,2786.0,Reefer,30322.0,2025-01-10,0.98678,1.8537,24140.21,8.664827709978464,True,True,False,False,False,2
TR-001950,Hartford,Reno,2794.2,Reefer,35166.0,2025-01-13,0.83784,1.91304,13918.0,4.981032138000144,True,True,False,False,False,2
TR-002031,Tucson,Houston,1247.6,Dry Van,46843.0,2025-01-13,0.86364,2.00528,10270.54,8.232237896761784,True,True,False,False,False,2
TR-002222,Boston,Jacksonville,1166.1,Flatbed,42165.0,2025-01-14,0.89553,2.00107,11210.34,9.613532287110884,True,True,False,False,False,2
TR-002224,Albuquerque,Indianapolis,1344.4,Dry Van,24751.0,2025-01-14,0.89477,1.7784,12100.18,9.000431419220469,True,True,False,False,False,2
TR-002515,Little Rock,Buffalo,1006.5,Dry Van,19892.0,2025-01-16,1.00383,1.86722,9313.19,9.25304520615996,True,True,False,False,False,2
TR-002663,Grand Rapids,Reno,1951.9,Dry Van,29933.0,2025-01-17,1.02555,1.68637,10436.26,5.346718581894564,True,True,False,False,False,2
TR-003029,Harrisburg,Oklahoma City,1489.5,Reefer,34450.0,2025-01-20,0.8359,2.18843,7679.26,5.155595837529372,True,True,False,False,False,2
TR-003187,El Paso,Fort Wayne,1684.4,Reefer,29510.0,2025-01-21,0.92428,2.08536,12854.51,7.631506767988601,True,True,False,False,False,2
TR-003354,Phoenix,Charleston,2527.9,Reefer,36840.0,2025-01-22,1.03241,2.07342,22534.65,8.914375568653824,True,True,False,False,False,2
TR-003909,Green Bay,Lubbock,1389.2,Dry Van,25352.0,2025-01-25,0.88292,1.80121,8339.05,6.002771379211056,True,True,False,False,False,2
TR-004042,Tucson,Baton Rouge,1410.7,Flatbed,30966.0,2025-01-26,0.83213,1.99559,9275.66,6.5752179768909045,True,True,False,False,False,2
TR-004389,Little Rock,Richmond,1068.0,Dry Van,33387.0,2025-01-28,0.96508,1.93107,8552.48,8.007940074906367,True,True,False,False,False,2
TR-004658,Baltimore,Reno,2884.1,Dry Van,35317.0,2025-01-30,1.06754,1.72427,17688.63,6.133154190215319,True,True,False,False,False,2
TR-004744,Phoenix,Jacksonville,2212.4,Reefer,38134.0,2025-01-30,1.06262,2.14388,14536.22,6.570339902368468,True,True,False,False,False,2
TR-005051,Raleigh,Reno,2642.3,Reefer,35325.0,2025-02-01,,1.90434,1020.7,0.38629224539227186,False,True,False,False,True,2
TR-005194,Albany,Lexington,1058.4,Dry Van,33015.0,2025-02-02,0.87374,1.81719,9080.04,8.579024943310658,True,True,False,False,False,2
TR-005210,Cincinnati,Louisville,70.0,Reefer,9458.0,2025-02-02,,2.96407,207.71,2.9672857142857145,False,True,False,False,True,2
TR-005546,Bakersfield,Baton Rouge,1628.9,Dry Van,23809.0,2025-02-04,0.97174,1.78337,7772.01,4.771324206519737,True,True,False,False,False,2
TR-005604,Los Angeles,Boston,3178.0,Reefer,,2025-02-05,1.03739,2.05392,6546.69,2.0600031466331026,True,False,False,True,False,2
TR-005727,Albany,Milwaukee,1078.0,Dry Van,45463.0,2025-02-05,1.03228,1.94408,6494.7,6.024768089053803,True,True,False,False,False,2
TR-006708,Kansas City,Syracuse,921.6,Dry Van,25661.0,2025-02-12,1.08771,1.88793,8091.49,8.779828559027777,True,True,False,False,False,2
TR-006756,Philadelphia,Dallas,1502.6,Flatbed,32707.0,2025-02-12,1.03761,2.02891,9457.25,6.293923865300147,True,True,False,False,False,2
TR-006982,Fresno,Montgomery,2255.6,Flatbed,-22094.0,2025-02-14,1.06188,1.92707,9825.71,4.356140273098067,True,True,True,False,False,3
TR-007242,Montgomery,Albany,1403.3,Flatbed,45445.0,2025-02-15,0.96085,1.99404,10945.08,7.799529680039906,True,True,False,False,False,2
TR-007361,Corpus Christi,Philadelphia,1739.9,Flatbed,30157.0,2025-02-16,0.90498,1.95132,10115.44,5.813805391114432,True,True,False,False,False,2
TR-007534,New Orleans,Buffalo,1156.4,Flatbed,29407.0,2025-02-17,0.92805,1.93677,10537.71,9.11251297129021,True,True,False,False,False,2
TR-007633,Syracuse,Jacksonville,1003.7,Dry Van,22400.0,2025-02-18,1.02739,1.84565,6646.55,6.622048420842881,True,True,False,False,False,2
TR-008328,Louisville,Cincinnati,70.0,Reefer,26169.0,2025-02-22,,3.15398,221.73,3.1675714285714283,False,True,False,False,True,2
TR-008622,Nashville,Syracuse,929.7,Reefer,33579.0,2025-02-24,0.94124,2.18225,8453.3,9.092502957943422,True,True,False,False,False,2
TR-009156,Green Bay,Shreveport,1021.4,Dry Van,19364.0,2025-02-28,1.07489,1.93979,7214.86,7.063696886626199,True,True,False,False,False,2
TR-009766,Chattanooga,Phoenix,1985.4,Reefer,26659.0,2025-03-04,1.0482,1.97355,10036.5,5.055152614082804,True,True,False,False,False,2
TR-009833,El Paso,Shreveport,1252.3,Dry Van,28394.0,2025-03-04,1.04073,1.99154,12422.22,9.91952407570071,True,True,False,False,False,2
TR-009990,Nashville,Albany,1279.0,Dry Van,23175.0,2025-03-05,1.15803,1.8645,7768.03,6.073518373729476,True,True,False,False,False,2
TR-010000,Grand Rapids,Boston,1069.1,Reefer,29476.0,2025-03-05,1.11126,2.04323,10769.23,10.073173697502572,True,True,False,False,False,2
TR-010371,Cincinnati,Louisville,75.1,Reefer,-37791.0,2025-03-07,1.14061,3.31233,249.26,3.319041278295606,False,True,True,False,False,2
TR-010376,Atlanta,Memphis,224.6,Reefer,-37994.0,2025-03-07,1.12716,3.08946,687.4,3.060552092609083,False,True,True,False,False,2
TR-010387,Mobile,Amarillo,1125.8,Dry Van,38863.0,2025-03-07,1.13115,2.13355,11247.8,9.990939776159175,True,True,False,False,False,2
TR-010955,Green Bay,Houston,1167.0,Dry Van,38500.0,2025-03-11,1.03337,1.98193,10168.3,8.713196229648672,True,True,False,False,False,2
TR-011364,Savannah,Charleston,190.5,Dry Van,,2025-03-14,1.09701,2.59577,148.72,0.7806824146981627,False,True,False,True,False,2
TR-011714,Fort Wayne,Oklahoma City,1151.3,Reefer,38377.0,2025-03-16,0.94313,2.31669,12454.19,10.817501954312517,True,True,False,False,False,2
TR-011935,Corpus Christi,Columbia,977.9,Reefer,29365.0,2025-03-17,0.98649,2.28838,7177.73,7.339942734430923,True,True,False,False,False,2
TR-012185,Bakersfield,Hartford,2829.8,Dry Van,33153.0,2025-03-19,1.16556,1.83188,25533.0,9.022899144815888,True,True,False,False,False,2
TR-013064,Dallas,Toledo,1040.3,Dry Van,24993.0,2025-03-24,1.06255,1.96186,8549.6,8.218398538883015,True,True,False,False,False,2
TR-013512,Lexington,Baton Rouge,751.2,Reefer,36805.0,2025-03-27,1.26904,2.56757,6621.13,8.814070820021298,True,True,False,False,False,2
TR-013848,Phoenix,Baltimore,3127.2,Dry Van,21371.0,2025-03-29,1.05909,1.69055,16386.16,5.239882322844718,True,True,False,False,False,2
TR-014177,Hartford,Memphis,1159.1,Dry Van,15947.0,2025-03-31,1.00746,1.90998,8401.52,7.2483133465619884,True,True,False,False,False,2
TR-014315,Mobile,Harrisburg,923.1,Flatbed,45791.0,2025-04-01,1.10455,1.93776,8631.33,9.350373740656483,True,True,False,False,False,2
TR-014612,Cincinnati,Corpus Christi,931.7,Dry Van,30768.0,2025-04-02,1.17827,2.17761,7648.0,8.208650853278952,True,True,False,False,False,2
TR-014786,Dallas,St. Louis,617.9,Flatbed,17528.0,2025-04-03,1.19781,1.82074,7106.91,11.501715487943033,True,True,False,False,False,2
TR-016265,Albany,Baton Rouge,1714.3,Dry Van,29943.0,2025-04-13,1.03791,2.30634,11408.87,6.655118707344106,True,True,False,False,False,2
TR-016400,Salt Lake City,Hartford,2618.1,Flatbed,-36738.0,2025-04-14,1.09914,2.17998,1211.76,0.4628394637332417,False,True,True,False,False,2
TR-017014,Baton Rouge,Salt Lake City,1448.3,Dry Van,46414.0,2025-04-17,1.36563,1.99484,11311.81,7.810405302768763,True,True,False,False,False,2
TR-017372,Reno,Philadelphia,2777.6,Reefer,33158.0,2025-04-20,1.1507,2.15601,23662.71,8.519120823732719,True,True,False,False,False,2
TR-017385,Fresno,Memphis,2015.3,Flatbed,33377.0,2025-04-20,1.17109,2.13889,13847.57,6.871220165732149,True,True,False,False,False,2
TR-017709,Mobile,Bakersfield,1946.7,Flatbed,28838.0,2025-04-22,1.24939,2.11525,12750.46,6.549781681820516,True,True,False,False,False,2
TR-017764,Greensboro,Phoenix,2295.4,Reefer,43657.0,2025-04-22,1.26369,1.95061,16841.6,7.337109000609915,True,True,False,False,False,2
TR-018016,Green Bay,Richmond,851.0,Dry Van,27091.0,2025-04-24,1.36928,2.14432,6489.53,7.6257696827262045,True,True,False,False,False,2
TR-018109,Lexington,Green Bay,620.2,Dry Van,29075.0,2025-04-24,1.41395,1.98512,6602.57,10.645872299258302,True,True,False,False,False,2
TR-018271,El Paso,Columbia,1825.3,Dry Van,-36413.0,2025-04-25,1.35588,2.18505,8708.21,4.7708376705199145,True,True,True,False,False,3
TR-018418,Providence,Phoenix,3110.8,Flatbed,33214.0,2025-04-26,1.27372,2.21169,14934.48,4.8008486562942005,True,True,False,False,False,2
TR-018740,Austin,Albuquerque,833.9,Flatbed,20546.0,2025-04-28,1.19135,1.83855,7777.29,9.326406043890154,True,True,False,False,False,2
TR-019091,Hartford,Little Rock,1374.0,Dry Van,43480.0,2025-04-30,1.36212,2.09302,9161.37,6.667663755458516,True,True,False,False,False,2
TR-019517,Los Angeles,Nashville,2021.0,Flatbed,33799.0,2025-05-03,1.28844,2.07878,16229.57,8.03046511627907,True,True,False,False,False,2
TR-020246,Atlanta,Los Angeles,2153.5,Reefer,31758.0,2025-05-08,1.42571,1.96054,17772.53,8.252858137915021,True,True,False,False,False,2
TR-020882,Reno,Dayton,2004.1,Dry Van,17891.0,2025-05-12,1.22414,2.32767,12906.22,6.439908188214161,True,True,False,False,False,2
