,posted_rate,distance,weight,abs_weight,market_index,quote_signal,pickup_lat,pickup_lon,delivery_lat,delivery_lon,rate_per_mile
posted_rate,1.0,0.9085191518300794,0.03483986417760058,0.04134253525590216,0.03416509829557221,-0.03985797823788257,-0.09087344118669202,-0.25505844108035675,-0.09196994067618612,-0.2570857340087841,0.003146910961962757
distance,0.9085191518300794,1.0,0.002543990186342575,0.0018615368914908898,-0.002181330424877757,-0.05724435172717835,-0.07774233791800124,-0.27341121309105704,-0.08064581174222743,-0.2756567873820034,-0.3346011310958749
weight,0.03483986417760058,0.002543990186342575,1.0,0.8387889777010517,-0.0013312058045377147,0.008159256190009885,0.0018983015850173425,0.006602857200081239,-0.00424323144287593,-0.001143927915485342,0.0745174789824715
abs_weight,0.04134253525590216,0.0018615368914908898,0.8387889777010517,1.0,0.0026703498014306283,0.006107027635405777,-0.00038492940503718305,0.003999570488266092,-0.0037980459757560154,0.0012405180696067046,0.09275940744628873
market_index,0.03416509829557221,-0.002181330424877757,-0.0013312058045377147,0.0026703498014306283,1.0,-0.06782710398018567,-0.0017352012151459393,0.0014319624219775301,-0.0025868786508343447,-0.00848685701601691,0.08347811751486187
quote_signal,-0.03985797823788257,-0.05724435172717835,0.008159256190009885,0.006107027635405777,-0.06782710398018567,1.0,-0.004180606332765249,0.013658974212753153,-0.002708422134205186,0.011436895004952798,0.04934221408928082
pickup_lat,-0.09087344118669202,-0.07774233791800124,0.0018983015850173425,-0.00038492940503718305,-0.0017352012151459393,-0.004180606332765249,1.0,0.5592077716556786,-0.00828326889000445,-0.006143227175021534,-0.03263127689753842
pickup_lon,-0.25505844108035675,-0.27341121309105704,0.006602857200081239,0.003999570488266092,0.0014319624219775301,0.013658974212753153,0.5592077716556786,1.0,-0.008608555126801967,-0.01223050683338954,0.054984833866978756
delivery_lat,-0.09196994067618612,-0.08064581174222743,-0.00424323144287593,-0.0037980459757560154,-0.0025868786508343447,-0.002708422134205186,-0.00828326889000445,-0.008608555126801967,1.0,0.5570830621671032,-0.030459878934878518
delivery_lon,-0.2570857340087841,-0.2756567873820034,-0.001143927915485342,0.0012405180696067046,-0.00848685701601691,0.011436895004952798,-0.006143227175021534,-0.01223050683338954,0.5570830621671032,1.0,0.05466723552904929
rate_per_mile,0.003146910961962757,-0.3346011310958749,0.0745174789824715,0.09275940744628873,0.08347811751486187,0.04934221408928082,-0.03263127689753842,0.054984833866978756,-0.030459878934878518,0.05466723552904929,1.0
